x (m),y (m),z (m),pressure (Pa)
  4.844, -1.213, -7.353,   77635
  4.844, -1.213, -7.941,   83427
  4.844, -1.213, -8.529,   89218
  4.844, -1.213, -9.118,   95003
  4.844, -1.213, -9.706,  100763
  4.702, -1.682, -0.882,   14362
  4.702, -1.682, -1.471,   20072
  4.702, -1.682, -2.059,   25794
  4.702, -1.682, -2.647,   31526
  4.702, -1.682, -3.235,   37267
  4.702, -1.682, -3.824,   43019
  4.702, -1.682, -4.412,   48778
  4.702, -1.682, -5.000,   54545
  4.702, -1.682, -5.588,   60318
  4.702, -1.682, -6.176,   66098
  4.702, -1.682, -6.765,   71882
  4.702, -1.682, -7.353,   77670
  4.702, -1.682, -7.941,   83460
  4.702, -1.682, -8.529,   89248
  4.702, -1.682, -9.118,   95029
  4.702, -1.682, -9.706,  100784
  4.515, -2.135, -0.882,   14459
  4.515, -2.135, -1.471,   20163
  4.515, -2.135, -2.059,   25879
  4.515, -2.135, -2.647,   31605
  4.515, -2.135, -3.235,   37342
  4.515, -2.135, -3.824,   43088
  4.515, -2.135, -4.412,   48843
  4.515, -2.135, -5.000,   54605
  4.515, -2.135, -5.588,   60375
  4.515, -2.135, -6.176,   66151
  4.515, -2.135, -6.765,   71931
  4.515, -2.135, -7.353,   77715
  4.515, -2.135, -7.941,   83501
  4.515, -2.135, -8.529,   89286
  4.515, -2.135, -9.118,   95063
  4.515, -2.135, -9.706,  100818
  4.283, -2.567, -0.882,   14573
  4.283, -2.567, -1.471,   20270
  4.283, -2.567, -2.059,   25979
  4.283, -2.567, -2.647,   31699
  4.283, -2.567, -3.235,   37430
  4.283, -2.567, -3.824,   43170
  4.283, -2.567, -4.412,   48919
  4.283, -2.567, -5.000,   54677
  4.283, -2.567, -5.588,   60442
  4.283, -2.567, -6.176,   66213
  4.283, -2.567, -6.765,   71989
  4.283, -2.567, -7.353,   77769
  4.283, -2.567, -7.941,   83550
  4.283, -2.567, -8.529,   89331
  4.283, -2.567, -9.118,   95104
  4.283, -2.567, -9.706,  100851
  4.011, -2.975, -0.882,   14701
  4.011, -2.975, -1.471,   20390
  4.011, -2.975, -2.059,   26091
  4.011, -2.975, -2.647,   31804
  4.011, -2.975, -3.235,   37528
  4.011, -2.975, -3.824,   43262
  4.011, -2.975, -4.412,   49005
  4.011, -2.975, -5.000,   54757
  4.011, -2.975, -5.588,   60516
  4.011, -2.975, -6.176,   66282
  4.011, -2.975, -6.765,   72053
  4.011, -2.975, -7.353,   77828
  4.011, -2.975, -7.941,   83605
  4.011, -2.975, -8.529,   89381
  4.011, -2.975, -9.118,   95149
  4.011, -2.975, -9.706,  100890
  3.700, -3.354, -0.882,   14838
  3.700, -3.354, -1.471,   20517
  3.700, -3.354, -2.059,   26210
  3.700, -3.354, -2.647,   31916
  3.700, -3.354, -3.235,   37632
  3.700, -3.354, -3.824,   43360
  3.700, -3.354, -4.412,   49096
  3.700, -3.354, -5.000,   54842
  3.700, -3.354, -5.588,   60596
  3.700, -3.354, -6.176,   66356
  3.700, -3.354, -6.765,   72122
  3.700, -3.354, -7.353,   77892
  3.700, -3.354, -7.941,   83664
  3.700, -3.354, -8.529,   89434
  3.700, -3.354, -9.118,   95196
  3.700, -3.354, -9.706,  100930
  3.354, -3.700, -0.882,   14977
  3.354, -3.700, -1.471,   20648
  3.354, -3.700, -2.059,   26333
  3.354, -3.700, -2.647,   32030
  3.354, -3.700, -3.235,   37739
  3.354, -3.700, -3.824,   43460
  3.354, -3.700, -4.412,   49190
  3.354, -3.700, -5.000,   54930
  3.354, -3.700, -5.588,   60677
  3.354, -3.700, -6.176,   66432
  3.354, -3.700, -6.765,   72192
  3.354, -3.700, -7.353,   77957
  3.354, -3.700, -7.941,   83724
  3.354, -3.700, -8.529,   89489
  3.354, -3.700, -9.118,   95245
  3.354, -3.700, -9.706,  100973
  2.975, -4.011, -0.882,   15115
  2.975, -4.011, -1.471,   20777
  2.975, -4.011, -2.059,   26454
  2.975, -4.011, -2.647,   32143
  2.975, -4.011, -3.235,   37845
  2.975, -4.011, -3.824,   43559
  2.975, -4.011, -4.412,   49282
  2.975, -4.011, -5.000,   55016
  2.975, -4.011, -5.588,   60758
  2.975, -4.011, -6.176,   66507
  2.975, -4.011, -6.765,   72262
  2.975, -4.011, -7.353,   78021
  2.975, -4.011, -7.941,   83783
  2.975, -4.011, -8.529,   89543
  2.975, -4.011, -9.118,   95294
  2.975, -4.011, -9.706,  101014
  2.567, -4.283, -0.882,   15246
  2.567, -4.283, -1.471,   20900
  2.567, -4.283, -2.059,   26568
  2.567, -4.283, -2.647,   32250
  2.567, -4.283, -3.235,   37945
  2.567, -4.283, -3.824,   43652
  2.567, -4.283, -4.412,   49370
  2.567, -4.283, -5.000,   55097
  2.567, -4.283, -5.588,   60834
  2.567, -4.283, -6.176,   66578
  2.567, -4.283, -6.765,   72328
  2.567, -4.283, -7.353,   78082
  2.567, -4.283, -7.941,   83839
  2.567, -4.283, -8.529,   89594
  2.567, -4.283, -9.118,   95339
  2.567, -4.283, -9.706,  101054
  2.135, -4.515, -0.882,   15364
  2.135, -4.515, -1.471,   21010
  2.135, -4.515, -2.059,   26672
  2.135, -4.515, -2.647,   32347
  2.135, -4.515, -3.235,   38036
  2.135, -4.515, -3.824,   43737
  2.135, -4.515, -4.412,   49449
  2.135, -4.515, -5.000,   55171
  2.135, -4.515, -5.588,   60903
  2.135, -4.515, -6.176,   66642
  2.135, -4.515, -6.765,   72387
  2.135, -4.515, -7.353,   78137
  2.135, -4.515, -7.941,   83890
  2.135, -4.515, -8.529,   89640
  2.135, -4.515, -9.118,   95381
  2.135, -4.515, -9.706,  101092
  1.682, -4.702, -0.882,   15465
  1.682, -4.702, -1.471,   21105
  1.682, -4.702, -2.059,   26760
  1.682, -4.702, -2.647,   32430
  1.682, -4.702, -3.235,   38113
  1.682, -4.702, -3.824,   43809
  1.682, -4.702, -4.412,   49517
  1.682, -4.702, -5.000,   55234
  1.682, -4.702, -5.588,   60961
  1.682, -4.702, -6.176,   66697
  1.682, -4.702, -6.765,   72438
  1.682, -4.702, -7.353,   78185
  1.682, -4.702, -7.941,   83933
