VARIABLES="Period (s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Diffraction force - beta =   0.000 deg",I=     5,F=POINT
 0.6545  0.590529E+06  0.181746E+07  0.144461E+07  0.115234E+07  0.374419E+06  0.631523E-01 -183.85   -3.85  -81.38   -3.86   -3.86  -86.21
 0.7200  0.673797E+06  0.207373E+07  0.122784E+07  0.136120E+07  0.442281E+06  0.942028E-01 -186.04   -6.04  -78.37   -6.06   -6.06  -86.83
 0.7854  0.747354E+06  0.230012E+07  0.103193E+07  0.154497E+07  0.501992E+06  0.151311E+00 -188.81   -8.81  -74.70   -8.81   -8.81  -87.62
Zone t="Diffraction force - beta = 117.000 deg",I=     5,F=POINT
 0.5236  0.628751E+06  0.123399E+07  0.191707E+07  0.721185E+06  0.367463E+06  0.405260E-01 -181.37   -1.37  -85.75   -1.37   -1.37  -86.62
 0.5890  0.743137E+06  0.145849E+07  0.167624E+07  0.891934E+06  0.454464E+06  0.475271E-01 -182.32   -2.32  -83.90   -2.32   -2.32  -86.12
 0.6545  0.867572E+06  0.170271E+07  0.144461E+07  0.107958E+07  0.550075E+06  0.631628E-01 -183.85   -3.85  -81.38   -3.86   -3.86  -86.19
 0.7200  0.989904E+06  0.194279E+07  0.122784E+07  0.127525E+07  0.649775E+06  0.942004E-01 -186.04   -6.04  -78.37   -6.06   -6.06  -86.81
 0.7854  0.109797E+07  0.215489E+07  0.103193E+07  0.144742E+07  0.737500E+06  0.151297E+00 -188.81   -8.81  -74.70   -8.81   -8.81  -87.62
Zone t="Diffraction force - beta = 126.000 deg",I=     5,F=POINT
 0.5236  0.814049E+06  0.112044E+07  0.191707E+07  0.654822E+06  0.475757E+06  0.373180E-01 -181.37   -1.37  -85.75   -1.37   -1.37  -86.34
 0.5890  0.962146E+06  0.132428E+07  0.167624E+07  0.809859E+06  0.588398E+06  0.408110E-01 -182.32   -2.32  -83.90   -2.32   -2.32  -85.53
 0.6545  0.112325E+07  0.154603E+07  0.144461E+07  0.980240E+06  0.712187E+06  0.496999E-01 -183.85   -3.85  -81.38   -3.86   -3.86  -85.16
 0.7200  0.128164E+07  0.176402E+07  0.122784E+07  0.115790E+07  0.841268E+06  0.680024E-01 -186.04   -6.04  -78.37   -6.06   -6.06  -85.58
 0.7854  0.142155E+07  0.195660E+07  0.103193E+07  0.131423E+07  0.954847E+06  0.102400E+00 -188.81   -8.81  -74.70   -8.81   -8.81  -86.48
Zone t="Diffraction force - beta = 135.000 deg",I=     5,F=POINT
 0.5236  0.979302E+06  0.979301E+06  0.191707E+07  0.572336E+06  0.572336E+06  0.320889E-01 -181.37   -1.37  -85.75   -1.37   -1.37  -85.73
 0.5890  0.115746E+07  0.115746E+07  0.167624E+07  0.707843E+06  0.707844E+06  0.300773E-01 -182.32   -2.32  -83.90   -2.32   -2.32  -83.85
 0.6545  0.135128E+07  0.135128E+07  0.144461E+07  0.856762E+06  0.856762E+06  0.278992E-01 -183.85   -3.85  -81.38   -3.86   -3.86  -81.33
